set_num,name,year,theme_id,num_parts,current_price,list_price
00-1,Weetabix Castle,1970.0,414.0,471.0,0.0,0.0
0011-2,Town Mini-Figures,1978.0,84.0,12.0,0.0,0.0
0011-3,Castle 2 for 1 Bonus Offer,1987.0,199.0,2.0,0.0,0.0
0012-1,Space Mini-Figures,1979.0,143.0,12.0,0.0,0.0
0013-1,Space Mini-Figures,1979.0,143.0,12.0,0.0,0.0
0014-1,Space Mini-Figures,1979.0,143.0,12.0,0.0,0.0
0015-1,Space Mini-Figures,1979.0,143.0,18.0,0.0,0.0
0016-1,Castle Mini Figures,1978.0,186.0,15.0,0.0,0.0
00-2,Weetabix Promotional House 1,1976.0,413.0,147.0,0.0,0.0
00-3,Weetabix Promotional House 2,1976.0,413.0,149.0,0.0,0.0
00-4,Weetabix Promotional Windmill,1976.0,413.0,126.0,0.0,0.0
005-1,Basic Building Set in Cardboard,1965.0,366.0,35.0,0.0,0.0
00-6,Special Offer,1985.0,67.0,3.0,0.0,0.0
00-7,Weetabix Promotional Lego Village,1976.0,413.0,3.0,0.0,0.0
010-1,Basic Building Set in Cardboard,1965.0,366.0,57.0,0.0,0.0
010-3,Basic Building Set,1968.0,366.0,77.0,0.0,0.0
011-1,Basic Building Set,1968.0,366.0,145.0,0.0,0.0
022-1,Basic Building Set,1968.0,366.0,110.0,0.0,0.0
03093-1,The Race to Build It Board Game,1999.0,502.0,70.0,0.0,0.0
033-2,Basic Building Set,1968.0,366.0,177.0,0.0,0.0
044-1,Basic Building Set,1968.0,366.0,225.0,0.0,0.0
055-2,Basic Building Set,1968.0,366.0,256.0,0.0,0.0
066-1,Basic Building Set,1968.0,366.0,407.0,0.0,0.0
080-1,Basic Building Set with Train,1967.0,366.0,710.0,0.0,0.0
088-1,Super Set,1969.0,469.0,615.0,0.0,0.0
10000-1,Guarded Inn,2001.0,186.0,256.0,0.0,0.0
10001-1,Metroliner,2001.0,233.0,785.0,708.0,0.0
10002-1,Railroad Club Car,2001.0,233.0,272.0,375.0,0.0
10003-1,1 x 2 Sand Red Bricks,2001.0,254.0,100.0,80.0,0.0
10004-1,2 x 2 Sand Red Bricks,2001.0,254.0,100.0,0.0,0.0
10005-1,2 x 4 Sand Red Bricks,2001.0,254.0,50.0,0.0,0.0
10006-1,1 x 6 Sand Red Bricks,2001.0,254.0,50.0,65.0,0.0
10007-1,2 x 4 Sand Red Ridge Roof Tiles Steep Slope,2001.0,254.0,25.0,5.95,0.0
10008-1,2 x 4 Roof Tile Sand Red,2001.0,254.0,50.0,0.0,0.0
10009-1,Assorted Blue Bricks,2001.0,254.0,62.0,0.0,0.0
100-1,4.5V Motor with Wheels (Small Version),1966.0,243.0,16.0,0.0,0.0
10010-1,Assorted Yellow Bricks,2003.0,254.0,63.0,0.0,0.0
10011-1,Assorted Blue Plates,2001.0,254.0,42.0,0.0,0.0
10012-1,Assorted Yellow Plates,2001.0,254.0,42.0,17.037,0.0
10013-1,Open Freight Wagon,2001.0,238.0,121.0,70.0,0.0
10014-1,Caboose,2001.0,238.0,170.0,100.0,0.0
10015-1,Passenger Wagon,2001.0,238.0,194.0,84.44,0.0
10016-1,Tanker,2001.0,238.0,128.0,132.0,0.0
10017-1,Hopper Wagon,2001.0,238.0,228.0,85.0,0.0
10018-1,Darth Maul,2001.0,158.0,1868.0,0.0,0.0
