Item_Number,Name,Year,Theme,Subtheme,Pieces,Minifigures,USD_MSRP,set_num,current_price
10246,Detective's Office,2015,Advanced Models,Modular Buildings,2262.0,6.0,159.99,10246,490.0
10247,Ferris Wheel,2015,Advanced Models,Fairground,2464.0,10.0,199.99,10247,420.0
10248,Ferrari F40,2015,Advanced Models,Vehicles,1158.0,,99.99,10248,315.0
10249,Toy Shop,2015,Advanced Models,Winter Village,898.0,,79.99,10249,200.0
10581,Ducks,2015,Duplo,Forest Animals,13.0,1.0,9.99,10581,
10582,Animals,2015,Duplo,Forest Animals,39.0,2.0,19.99,10582,
10583,Fishing Trip,2015,Duplo,Forest Animals,32.0,2.0,24.99,10583,
10584,Forest,2015,Duplo,Forest Animals,105.0,3.0,59.99,10584,
10585,Mom and Baby,2015,Duplo,,13.0,2.0,9.99,10585,
10586,Ice Cream Truck,2015,Duplo,,11.0,2.0,14.99,10586,
10587,Cafe,2015,Duplo,,52.0,3.0,19.99,10587,
10589,Rally Car,2015,Duplo,,13.0,1.0,14.99,10589,
10590,Airport,2015,Duplo,,29.0,,19.99,10590,
10591,Fire Boat,2015,Duplo,Fire,19.0,,14.99,10591,25.0
10592,Fire Truck,2015,Duplo,Fire,26.0,,24.99,10592,28.5
10593,Fire Station,2015,Duplo,Fire,105.0,,49.99,10593,
10594,Sofia the First Royal Stable,2015,Duplo,,38.0,1.0,24.99,10594,
10595,Sofia the First Royal Castle,2015,Duplo,,87.0,2.0,49.99,10595,
10596,Disney Princess Collection,2015,Duplo,Disney Princess,63.0,,39.99,10596,
10597,Mickey & Minnie Birthday Parade,2015,Duplo,,24.0,,24.99,10597,16.8
10599,Batman Adventure,2015,Duplo,,47.0,,39.99,10599,
10600,Classic Race,2015,Duplo,Cars,29.0,,24.99,10600,
10601,Delivery Vehicle,2015,Duplo,,19.0,,19.99,10601,
10602,Camping,2015,Duplo,,38.0,,29.99,10602,
10603,My First Bus,2015,Duplo,,17.0,1.0,14.99,10603,
10604,Jake and the Never Land Pirates Treasure Island,2015,Duplo,,25.0,,19.99,10604,
10605,Doc McStuffins Rosie the Ambulance,2015,Duplo,,16.0,,19.99,10605,
10606,Doc McStuffins Backyard Clinic,2015,Duplo,,39.0,,29.99,10606,
10607,Spider-man 1,2015,Duplo,,,,14.99,10607,
10608,Spider-man 2,2015,Duplo,,,,29.99,10608,
10615,My First Tractor,2015,Duplo,,12.0,2.0,14.99,10615,
10616,My First Playhouse,2015,Duplo,,25.0,2.0,19.99,10616,
10617,My First Farm,2015,Duplo,,26.0,2.0,19.99,10617,
10618,Creative Building Box,2015,Duplo,,70.0,2.0,24.99,10618,
10622,Large Creative Box,2015,Duplo,,193.0,,59.99,10622,
10677,Beach Trip,2015,Juniors,,74.0,1.0,9.99,10677,26.5125
10679,Pirate Treasure Hunt,2015,Juniors,Pirates,57.0,2.0,9.99,10679,
10680,Garbage Truck,2015,Juniors,,99.0,2.0,19.99,10680,
10683,Road Work Truck,2015,Juniors,,132.0,2.0,19.99,10683,
10684,Supermarket Suitcase,2015,Juniors,,134.0,2.0,19.99,10684,
10685,Fire Suitcase,2015,Juniors,,113.0,2.0,19.99,10685,
10686,Family House,2015,Juniors,,226.0,3.0,29.99,10686,44.99
10687,Spider-Man Hideout,2015,Juniors,,137.0,,29.99,10687,
10692,Creative Bricks,2015,Classic,,221.0,,16.99,10692,14.0
10693,Creative Supplement,2015,Classic,,303.0,,19.99,10693,22.49
10693,Creative Supplement,2015,Classic,,303.0,,19.99,10693,
10694,Creative Supplement Bright,2015,Classic,,303.0,,19.99,10694,10.0
10695,Creative Building Box,2015,Classic,,580.0,,24.99,10695,
10696,Medium Creative Brick Box,2015,Classic,,484.0,,34.99,10696,24.98
10697,XXXL Box,2015,Classic,,1500.0,,59.99,10697,88.99
10698,Large Creative Brick Box,2015,Classic,,790.0,,59.99,10698,49.99
10699,32x32 Sand Baseplate,2015,Classic,,1.0,,7.99,10699,20.0
10700,32x32 Green Baseplate,2015,Classic,,1.0,,7.99,10700,5.58
10701,48x48 Grey Baseplate,2015,Classic,,1.0,,14.99,10701,14.99
21022,Lincoln Memorial,2015,Architecture,Landmark Series,274.0,,29.99,21022,109.99
21023,"Flatiron Building, New York",2015,Architecture,Landmark Series,471.0,,39.99,21023,98.97
21024,Louvre,2015,Architecture,,695.0,,59.99,21024,129.75
21119,The Dungeon,2015,Minecraft,,219.0,3.0,19.99,21119,40.0
21120,The Snow Hideout,2015,Minecraft,,327.0,3.0,34.99,21120,
21121,The Desert Outpost,2015,Minecraft,,519.0,4.0,59.99,21121,60.0
21122,The Nether Fortress,2015,Minecraft,,571.0,4.0,79.99,21122,119.9
21301,Birds,2015,Ideas,,580.0,,44.99,21301,138.0
21302,The Big Bang Theory,2015,Ideas,,484.0,7.0,59.99,21302,209.44
21303,WALL-E,2015,Ideas,,677.0,,,21303,297.97
21303,WALL-E,2015,Ideas,,677.0,,,21303,
30202,Smoothie Stand,2015,Friends,,37.0,1.0,,30202,5.0
30204,Wish Fountain,2015,Friends,,44.0,1.0,3.99,30204,5.8
30256,Ice Bear Mech,2015,Legends of Chima,,39.0,1.0,3.99,30256,10.99
30272,A-Wing Starfighter,2015,Star Wars,,58.0,,,30272,7.02
30274,AT-DP,2015,Star Wars,,65.0,,,30274,7.3712
30275,TIE Advanced Prototype,2015,Star Wars,Mini Building Set,47.0,,,30275,5.5
30283,Off-Road,2015,Creator,,43.0,,,30283,5.851
30285,Tiger,2015,Creator,,73.0,,3.99,30285,10.0
30291,Anacondrai Battle Mech,2015,Ninjago,,43.0,1.0,,30291,6.5
30292,Jay Nano Mech,2015,Ninjago,,54.0,1.0,,30292,
