Item_Number,Name,Year,Theme,Subtheme,Pieces,Minifigures,USD_MSRP,Current_Price
10246,Detective's Office,2015,Advanced Models,Modular Buildings,2262.0,6.0,159.99,490.0000
10247,Ferris Wheel,2015,Advanced Models,Fairground,2464.0,10.0,199.99,420.0000
10248,Ferrari F40,2015,Advanced Models,Vehicles,1158.0,,99.99,315.0000
10249,Toy Shop,2015,Advanced Models,Winter Village,898.0,,79.99,200.0000
10581,Ducks,2015,Duplo,Forest Animals,13.0,1.0,9.99,
10582,Animals,2015,Duplo,Forest Animals,39.0,2.0,19.99,
10583,Fishing Trip,2015,Duplo,Forest Animals,32.0,2.0,24.99,
10584,Forest,2015,Duplo,Forest Animals,105.0,3.0,59.99,
10585,Mom and Baby,2015,Duplo,,13.0,2.0,9.99,
10586,Ice Cream Truck,2015,Duplo,,11.0,2.0,14.99,
10587,Cafe,2015,Duplo,,52.0,3.0,19.99,
10589,Rally Car,2015,Duplo,,13.0,1.0,14.99,
10590,Airport,2015,Duplo,,29.0,,19.99,
10591,Fire Boat,2015,Duplo,Fire,19.0,,14.99,25.0000
10592,Fire Truck,2015,Duplo,Fire,26.0,,24.99,28.5000
10593,Fire Station,2015,Duplo,Fire,105.0,,49.99,
10594,Sofia the First Royal Stable,2015,Duplo,,38.0,1.0,24.99,
10595,Sofia the First Royal Castle,2015,Duplo,,87.0,2.0,49.99,
10596,Disney Princess Collection,2015,Duplo,Disney Princess,63.0,,39.99,
10597,Mickey & Minnie Birthday Parade,2015,Duplo,,24.0,,24.99,16.8000
10599,Batman Adventure,2015,Duplo,,47.0,,39.99,
10600,Classic Race,2015,Duplo,Cars,29.0,,24.99,
10601,Delivery Vehicle,2015,Duplo,,19.0,,19.99,
10602,Camping,2015,Duplo,,38.0,,29.99,
10603,My First Bus,2015,Duplo,,17.0,1.0,14.99,
10604,Jake and the Never Land Pirates Treasure Island,2015,Duplo,,25.0,,19.99,
10605,Doc McStuffins Rosie the Ambulance,2015,Duplo,,16.0,,19.99,
10606,Doc McStuffins Backyard Clinic,2015,Duplo,,39.0,,29.99,
10607,Spider-man 1,2015,Duplo,,,,14.99,
10608,Spider-man 2,2015,Duplo,,,,29.99,
10615,My First Tractor,2015,Duplo,,12.0,2.0,14.99,
10616,My First Playhouse,2015,Duplo,,25.0,2.0,19.99,
10617,My First Farm,2015,Duplo,,26.0,2.0,19.99,
10618,Creative Building Box,2015,Duplo,,70.0,2.0,24.99,
10622,Large Creative Box,2015,Duplo,,193.0,,59.99,
10677,Beach Trip,2015,Juniors,,74.0,1.0,9.99,26.5125
10679,Pirate Treasure Hunt,2015,Juniors,Pirates,57.0,2.0,9.99,
10680,Garbage Truck,2015,Juniors,,99.0,2.0,19.99,
10683,Road Work Truck,2015,Juniors,,132.0,2.0,19.99,
10684,Supermarket Suitcase,2015,Juniors,,134.0,2.0,19.99,
10685,Fire Suitcase,2015,Juniors,,113.0,2.0,19.99,
10686,Family House,2015,Juniors,,226.0,3.0,29.99,44.9900
10687,Spider-Man Hideout,2015,Juniors,,137.0,,29.99,
10692,Creative Bricks,2015,Classic,,221.0,,16.99,14.0000
10693,Creative Supplement,2015,Classic,,303.0,,19.99,22.4900
10694,Creative Supplement Bright,2015,Classic,,303.0,,19.99,10.0000
10695,Creative Building Box,2015,Classic,,580.0,,24.99,
10696,Medium Creative Brick Box,2015,Classic,,484.0,,34.99,24.9800
10697,XXXL Box,2015,Classic,,1500.0,,59.99,88.9900
10698,Large Creative Brick Box,2015,Classic,,790.0,,59.99,49.9900
10699,32x32 Sand Baseplate,2015,Classic,,1.0,,7.99,20.0000
10700,32x32 Green Baseplate,2015,Classic,,1.0,,7.99,5.5800
10701,48x48 Grey Baseplate,2015,Classic,,1.0,,14.99,7.0000
21022,Lincoln Memorial,2015,Architecture,Landmark Series,274.0,,29.99,109.9900
21023,"Flatiron Building, New York",2015,Architecture,Landmark Series,471.0,,39.99,98.9700
21024,Louvre,2015,Architecture,,695.0,,59.99,129.7500
21119,The Dungeon,2015,Minecraft,,219.0,3.0,19.99,40.0000
21120,The Snow Hideout,2015,Minecraft,,327.0,3.0,34.99,
21121,The Desert Outpost,2015,Minecraft,,519.0,4.0,59.99,60.0000
21122,The Nether Fortress,2015,Minecraft,,571.0,4.0,79.99,119.9000
21301,Birds,2015,Ideas,,580.0,,44.99,138.0000
21302,The Big Bang Theory,2015,Ideas,,484.0,7.0,59.99,209.4400
21303,WALL-E,2015,Ideas,,677.0,,,297.9700
30202,Smoothie Stand,2015,Friends,,37.0,1.0,,5.0000
30204,Wish Fountain,2015,Friends,,44.0,1.0,3.99,5.8000
30256,Ice Bear Mech,2015,Legends of Chima,,39.0,1.0,3.99,10.9900
30272,A-Wing Starfighter,2015,Star Wars,,58.0,,,7.0200
30274,AT-DP,2015,Star Wars,,65.0,,,7.3712
30275,TIE Advanced Prototype,2015,Star Wars,Mini Building Set,47.0,,,5.5000
30283,Off-Road,2015,Creator,,43.0,,,5.8510
30285,Tiger,2015,Creator,,73.0,,3.99,10.0000
30291,Anacondrai Battle Mech,2015,Ninjago,,43.0,1.0,,6.5000
30292,Jay Nano Mech,2015,Ninjago,,54.0,1.0,,
30303,The Joker Bumper Car,2015,DC Comics Super Heroes,,47.0,1.0,3.99,5.3500
30311,Swamp Police Helicopter,2015,City,Swamp Police,51.0,1.0,3.49,5.6085
30313,Garbage Truck,2015,City,,48.0,1.0,3.49,7.9900
30314,Go-Kart Racer,2015,City,,45.0,1.0,,4.9900
30315,Space Utility Vehicle,2015,City,Space Port,37.0,1.0,3.99,4.9800
31027,Blue Racer,2015,Creator,,67.0,,4.99,15.6400
31028,Sea Plane,2015,Creator,,53.0,,4.99,9.9900
31029,Cargo Heli,2015,Creator,,132.0,,9.99,17.5000
31030,Red Go-Kart,2015,Creator,,106.0,,9.99,
31031,Rainforest Animals,2015,Creator,,215.0,,14.99,42.0000
31032,Red Creatures,2015,Creator,,221.0,,14.99,25.0000
31033,Vehicle Transporter,2015,Creator,,264.0,,24.99,60.0000
31034,Future Flyer,2015,Creator,,237.0,,24.99,75.0000
31035,Beach Hut,2015,Creator,,286.0,2.0,29.99,30.0000
31036,Toy & Grocery Shop,2015,Creator,,466.0,2.0,39.99,74.9900
31037,Adventure Vehicles,2015,Creator,,282.0,,24.99,14.8087
31038,Changing Seasons,2015,Creator,,536.0,2.0,49.99,95.0000
31039,Blue Power Jet,2015,Creator,,608.0,,69.99,150.0000
40120,Valentine's Day Dinner,2015,Seasonal,Valentines,114.0,2.0,9.99,24.9900
40121,Painting Easter Eggs,2015,Seasonal,Easter,153.0,2.0,9.99,16.0000
40122,Trick or Treat Halloween Set,2015,Seasonal,Halloween,133.0,,9.99,50.0000
40140,Flower Cart,2015,Creator,,71.0,1.0,4.99,16.0000
40153,Birthday Cake,2015,Miscellaneous,,120.0,,9.99,19.9900
40154,Iconic Pencil Pot,2015,Creator,,174.0,2.0,14.99,16.9900
40155,Piggy Coin Bank,2015,Miscellaneous,,148.0,,14.99,22.9900
40156,Organiser,2015,Friends,,171.0,,16.99,19.0000
40158,Pirates Chess Set,2015,Pirates,,857.0,20.0,59.99,95.0000
41060,Sleeping Beauty's Royal Bedroom,2015,Disney Princess,Sleeping Beauty,96.0,1.0,12.99,19.0000
41061,Jasmine's Exotic Palace,2015,Disney Princess,Aladdin,143.0,1.0,19.99,30.0000
41062,Elsa's Sparkling Ice Castle,2015,Disney Princess,Frozen,292.0,3.0,39.99,43.9900
41063,Ariel's Undersea Palace,2015,Disney Princess,The Little Mermaid,379.0,2.0,54.99,
41071,Aira's Creative Workshop,2015,Elves,,98.0,1.0,9.99,20.0000
41072,Naida's Spa Secret,2015,Elves,,249.0,1.0,19.99,
41073,Naida's Epic Adventure Ship,2015,Elves,,312.0,2.0,29.99,59.9900
41074,Azari and the Magical Bakery,2015,Elves,,324.0,2.0,29.99,44.9900
41075,The Elves' Treetop Hideaway,2015,Elves,,505.0,3.0,49.99,110.0000
41076,Farran and the Crystal Hollow,2015,Elves,,175.0,1.0,14.99,25.3830
41077,Aira's Pegasus Sleigh,2015,Elves,,319.0,2.0,39.99,50.0000
41078,Skyra's Mysterious Sky Castle,2015,Elves,,808.0,3.0,79.99,
41085,Vet Clinic,2015,Friends,,192.0,1.0,19.99,40.0000
41086,Vet Ambulance,2015,Friends,,89.0,1.0,9.99,
41087,Bunny & Babies,2015,Friends,,47.0,,4.99,19.9900
41088,Puppy Training,2015,Friends,,65.0,,4.99,8.9900
41089,Little Foal,2015,Friends,,43.0,,4.99,8.9900
41090,Olivia's Garden Pool,2015,Friends,,82.0,1.0,9.99,
41091,Mia's Roadster,2015,Friends,,187.0,1.0,14.99,19.0000
41092,Stephanie's Pizzeria,2015,Friends,,87.0,1.0,9.99,18.0000
41093,Heartlake Hair Salon,2015,Friends,,318.0,2.0,29.99,37.3410
41094,Heartlake Lighthouse,2015,Friends,,473.0,2.0,39.99,
41095,Emma's House,2015,Friends,,706.0,3.0,69.99,150.0000
41097,Heartlake Hot Air Balloon,2015,Friends,,254.0,2.0,29.99,26.9900
41098,Emma's Tourist Kiosk,2015,Friends,,98.0,1.0,9.99,22.2720
41099,Heartlake Skate Park,2015,Friends,,199.0,1.0,19.99,
41100,Heartlake Private Jet,2015,Friends,,230.0,2.0,29.99,
41101,Heartlake Grand Hotel,2015,Friends,,1552.0,5.0,129.99,150.0000
41102,Friends Advent Calendar,2015,Friends,Seasonal,233.0,,29.99,
41103,Pop Star Recording Studio,2015,Friends,,172.0,1.0,14.99,25.9900
41104,Pop Star Dressing Room,2015,Friends,,279.0,2.0,29.99,
41105,Pop Star Show Stage,2015,Friends,,446.0,2.0,39.99,48.0886
41106,Pop Star Tour Bus,2015,Friends,,682.0,3.0,59.99,109.9900
41107,Pop Star Limousine,2015,Friends,,265.0,2.0,24.99,
41108,Heartlake Food Market,2015,Friends,,388.0,2.0,39.99,
41109,Heartlake City Airport,2015,Friends,,692.0,3.0,89.99,103.9900
41527,Rokit,2015,Mixels,Series 4,66.0,,4.99,10.4518
41528,Niksput,2015,Mixels,Series 4,62.0,,4.99,10.0000
41529,Nurp-Naut,2015,Mixels,Series 4,52.0,,4.99,15.0000
41530,Meltus,2015,Mixels,Series 4,66.0,,4.99,20.0000
41531,Flamzer,2015,Mixels,Series 4,60.0,,4.99,18.0000
41532,Burnard,2015,Mixels,Series 4,59.0,,4.99,20.0000
41533,Globert,2015,Mixels,Series 4,45.0,,4.99,15.0000
41534,Vampos,2015,Mixels,Series 4,59.0,,4.99,13.5000
41535,Boogly,2015,Mixels,Series 4,52.0,,4.99,10.0000
41536,Gox,2015,Mixels,Series 5,62.0,,4.99,14.9900
41537,Jinky,2015,Mixels,Series 5,59.0,,4.99,20.0000
